OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303607:20160714:1440:SR,Sample-Routine,Water,Surface Water,2016-07-14,14:40:00,EDT,,,,,,,,,,,,1787,Southwest Ohio River Tributaries 2016 TMDL,,21OHIO_WQX-303607,E. FK. EAGLE CR. SW OF WEST UNION OFF SR 41 @ FARM FORD,190640,,,,38.7773300000,-83.5804860000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864789135,,as N,Nitrate + Nitrite,Unfiltered,0.6,mg/L,,Final,,Actual,,,,,,,,,,"#27
Decent flow. Fairly clear water. Small mussel shells on stream bed.  Some small fish.  Sample collected upstream of ford.",,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303607%3A20160714%3A1440%3ASR/results/864789135/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:44:58,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-301788:20160622:1100:SR,Sample-Routine,Water,Surface Water,2016-06-22,11:00:00,EDT,,,,,,,,,,,,1663,Lake Erie Nearshore Water Quality Monitoring,,21OHIO_WQX-301788,MAUMEE BAY OFF WOODTICK PENINSULA,188979,,,,41.7327780000,-83.4161110000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864776884,,as N,Nitrate + Nitrite,Unfiltered,0.89,mg/L,,Final,,Actual,,,,,,,,,,Surface 1.0 (m),,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-301788%3A20160622%3A1100%3ASR/results/864776884/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:44:18,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-U05K09:20160607:1238:SR,Sample-Routine,Water,Surface Water,2016-06-07,12:38:00,EDT,,,,,,,,,,,,1132,Inland Lakes Program,,21OHIO_WQX-U05K09,"RACCOON CREEK RESERVOIR, L-1",187963,,,,41.2901000000,-82.9784000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864812627,,as N,Nitrate + Nitrite,Unfiltered,0.3,mg/L,,Final,,Actual,,,,,,,,,,Surface 0.5 (m),,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-U05K09%3A20160607%3A1238%3ASR/results/864812627/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:46:17,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-R08W04:20160825:1152:SR,Sample-Routine,Water,Surface Water,2016-08-25,11:52:00,EDT,,,,,,,,,,,,1788,Conotton Creek Basin 2016 TMDL,,21OHIO_WQX-R08W04,MCGUIRE CREEK DST. LEESVILLE LAKE DAM @ U.S.G.S. GAGE,193595,,,,40.4703000000,-81.1967000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864861015,,as N,Nitrate + Nitrite,Unfiltered,0.14,mg/L,,Final,,Actual,,,,,,,,,,CBOD20 cBOD20 result rejected due to uncertainty in BOD analysis.,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-R08W04%3A20160825%3A1152%3ASR/results/864861015/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:24:08,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-V08W47:20160809:1158:SR,Sample-Routine,Water,Surface Water,2016-08-09,11:58:00,EDT,,,,,,,,,,,,1708;1713,Compliance Sampling;Miscellaneous Chemistry Sampling - All Years,,21OHIO_WQX-V08W47,WALNUT CREEK <50' DST. CANAL WINCHESTER WWTP @ MIXING ZONE,192307,,,,39.8292000000,-82.8208000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864862138,,as N,Nitrate + Nitrite,Unfiltered,1.88,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-V08W47%3A20160809%3A1158%3ASR/results/864862138/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:24:12,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-302837:20161102:1302:SR,Sample-Routine,Water,Surface Water,2016-11-02,13:02:00,EDT,,,,,,,,,,,,1771,Enhanced WLEB Tributary Monitoring,,21OHIO_WQX-302837,Little Flatrock Creek @ TR 139 near Junction,197437,,,,41.1854690000,-84.4953920000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864833988,,as N,Nitrate + Nitrite,Unfiltered,12.9,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-302837%3A20161102%3A1302%3ASR/results/864833988/resdetectqntlmts,Reporting limit,0.5,mg/L,,2020-11-25T16:22:43,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-R08W05:20160629:1244:SR,Sample-Routine,Water,Surface Water,2016-06-29,12:44:00,EDT,,,,,,,,,,,,1788,Conotton Creek Basin 2016 TMDL,,21OHIO_WQX-R08W05,CONOTTON CREEK E OF LEESVILLE @ ST. RT. 164,189527,,,,40.4456000000,-81.1969000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864811341,,as N,Nitrate + Nitrite,Unfiltered,0.56,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-R08W05%3A20160629%3A1244%3ASR/results/864811341/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:46:13,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-W03S09:20160803:0943:SR,Sample-Routine,Water,Surface Water,2016-08-03,09:43:00,EDT,,,,,,,,,,,,1786,Raccoon Creek Basin 2016 TMDL,,21OHIO_WQX-W03S09,L. RACCOON CREEK UPST LAKE RUPERT @ CO. RD. 25,191966,,,,39.2081000000,-82.5419000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864866253,,as N,Nitrate + Nitrite,Unfiltered,0.21,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-W03S09%3A20160803%3A0943%3ASR/results/864866253/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:24:28,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-K01S12:20160804:1155:SR,Sample-Routine,Water,Surface Water,2016-08-04,11:55:00,EDT,,,,,,,,,,,,1790,Huron River Basin 2016 TMDL,,21OHIO_WQX-K01S12,W. BR. HURON R. @ LAMEREAUX RD.,191995,,,,41.2808000000,-82.6756000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864856740,,as N,Nitrate + Nitrite,Unfiltered,0.1,mg/L,,Final,,Actual,,,,,,,,,,cBOD20 result rejected due to uncertainty in BOD analysis.,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-K01S12%3A20160804%3A1155%3ASR/results/864856740/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:23:53,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303501:20160908:1233:SR,Sample-Routine,Water,Surface Water,2016-09-08,12:33:00,EDT,,,,,,,,,,,,1789,Symmes Creek Basin 2016 TMDL,,21OHIO_WQX-303501,BLACK FORK @ ST. RT. 233 N.OF GALLIA,194286,,,,38.8414070000,-82.5160480000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864835348,,as N,Nitrate + Nitrite,Unfiltered,0.12,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303501%3A20160908%3A1233%3ASR/results/864835348/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:22:47,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303664:20160808:1409:SR,Sample-Routine,Water,Surface Water,2016-08-08,14:09:00,EDT,,,,,,,,,,,,1789,Symmes Creek Basin 2016 TMDL,,21OHIO_WQX-303664,PERIGEN CREEK @ MERCERVILLE RD.,192235,,,,38.6677220000,-82.2981790000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864845883,,as N,Nitrate + Nitrite,Unfiltered,0.11,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303664%3A20160808%3A1409%3ASR/results/864845883/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:23:18,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-303552:20161004:1311:SR,Sample-Routine,Water,Surface Water,2016-10-04,13:11:00,EDT,,,,,,,,,,,,1789,Symmes Creek Basin 2016 TMDL,,21OHIO_WQX-303552,BUCK CREEK @ ST. RT. 141,196051,,,,38.6602590000,-82.4664770000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864838827,,as N,Nitrate + Nitrite,Unfiltered,0.1,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-303552%3A20161004%3A1311%3ASR/results/864838827/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:22:57,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-P11P18:20160524:1121:SR,Sample-Routine,Water,Surface Water,2016-05-24,11:21:00,EDT,,,,,,,,,,,,1771,Enhanced WLEB Tributary Monitoring,,21OHIO_WQX-P11P18,WOLF CREEK E OF HOLLAND @ HOLLAND-SYLVANIA RD.,187496,,,,41.6094000000,-83.6842000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864808755,,as N,Nitrate + Nitrite,Unfiltered,1.15,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-P11P18%3A20160524%3A1121%3ASR/results/864808755/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T13:46:05,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-X03W12:20161129:1435:SR,Sample-Routine,Water,Surface Water,2016-11-29,14:35:00,EST,,,,,,,,,,,,1787,Southwest Ohio River Tributaries 2016 TMDL,,21OHIO_WQX-X03W12,STRAIGHT CREEK AT CENTERPOINT @ OLD U.S. RT. 68,198391,,,,38.7986000000,-83.8889000000,OH - Water,21OHIO_WQX,OEPA Surface Water Sample Collection Method,,Water Bottle,STORET-864869212,Below Reporting Limit,as N,Nitrate + Nitrite,Unfiltered,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,DES,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21OHIO_WQX/activities/21OHIO_WQX-X03W12%3A20161129%3A1435%3ASR/results/864869212/resdetectqntlmts,Reporting limit,0.1,mg/L,,2020-11-25T16:24:40,STORET
